first_stop,last_stop,total_duration,mean_of_mean_gradient,max_of_max_gradient,total_weight_change,skewness,kurtosis,duration_mean,duration_std,duration_min,duration_max,shaking_duration_mean,shaking_duration_std,shaking_duration_min,shaking_duration_max,mean_gradient_mean,mean_gradient_std,mean_gradient_min,mean_gradient_max,max_gradient_mean,max_gradient_std,max_gradient_min,max_gradient_max,weight_change_mean,weight_change_std,weight_change_min,weight_change_max,label
45.0,673.0,295.0,0.001650484,0.0280672959,0.9344275749,-0.9680619018,-0.4110222955,7.135922330097087,2.729822746846828,4.0,18.0,3.8640776699029127,0.9502171443197724,2.0,9.0,0.0016504840213592,0.0020847337870104,0.0,0.0105252359,0.0049551613252427,0.005817932147358,0.0,0.0280672959,0.009072112376699,0.0125452671449224,0.0,0.0791957325,0
19.0,118.0,49.0,0.0017108065,0.0327447567,0.1355384233,-2.5526289997,5.5368629415,7.866666666666666,2.065591117977289,5.0,13.0,4.266666666666667,0.4577377082170635,4.0,5.0,0.0017108064599999,0.0024901240451062,0.0,0.0089032579,0.00654066152,0.0101934978322433,0.0,0.0327447567,0.0090358948866666,0.010039134719846,0.0,0.0339882285,1
28.0,131.0,50.0,0.0009598594,0.0306603774,0.1113042039,-2.0481568148,2.6931164686,10.076923076923077,2.928638433969457,7.0,16.0,4.846153846153846,3.508232077228117,3.0,16.0,0.0009598594076923,0.0019374570488208,0.0,0.0073113208,0.0036793726153846,0.008159679591731,0.0,0.0306603774,0.0085618618461538,0.0186924849948615,0.0,0.0704237008,1
6.0,340.0,198.0,0.0025900331,0.0464527752,0.8398387235,-1.4501019664,1.3640974784,9.24390243902439,3.152621827978088,5.0,21.0,5.829268292682927,1.1158503265310775,2.0,8.0,0.0025900330609756,0.0030495390619945,0.0,0.0143200284,0.0109512341512195,0.0118235001666015,0.0,0.0464527752,0.020483871302439,0.0256800357285178,0.0,0.0977953161,0
21.0,21.0,22.0,0.0,0.0,0.0,-1.3188188162,0.2949570399,23.0,0.0,23.0,23.0,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26.0,122.0,66.0,0.0007867547,0.011130137,0.0694349315,-2.4443949459,4.8693585615,9.75,1.815338686155987,6.0,13.0,6.5,1.9306145983268457,3.0,10.0,0.0007867546583333,0.0007814950035439,0.0,0.0021332763,0.0033747146166666,0.0034316472777159,0.0,0.011130137,0.0057862442833333,0.0051959897961934,0.0,0.0154109589,1
17.0,168.0,110.0,0.0009539145,0.0917967358,0.2705437959,-2.6389345659,9.2422719357,8.85,9.022049014556096,5.0,47.0,6.5,7.701674459082532,3.0,39.0,0.0009539144749999,0.000966384111027,0.0,0.0039062441,0.00748342954,0.0200213786817579,0.0,0.0917967358,0.0135271898,0.0402247415865086,0.0,0.1835934716,1
25.0,293.0,111.0,0.0021189492,0.0209452202,0.7052228786,-0.9819772225,-0.1125246977,11.333333333333334,6.450998730071539,5.0,36.0,5.111111111111111,1.577079416890439,4.0,12.0,0.0021189492444444,0.0016648753101002,0.0,0.0077295172,0.0069394717,0.0047903452883752,0.0,0.0209452202,0.0261193658703703,0.0520773865479649,0.0,0.2782626208,0
32.0,58.0,18.0,0.0023369515,0.0159875025,0.0897427375,-1.0384582113,-0.3152337549,13.0,1.7320508075688772,11.0,14.0,7.0,3.4641016151377544,5.0,11.0,0.0023369515333333,0.0024948815589984,0.0,0.0049643403,0.0072015777,0.0081106519988737,0.0,0.0159875025,0.0299142458333333,0.0312911844896194,0.0,0.0624210596,1
26.0,95.0,39.0,0.0003716711,0.00308888,0.0248438953,-2.2373533551,3.7689396263,10.75,4.301162633521313,8.0,21.0,5.875,2.6423744732991303,4.0,10.0,0.0003716711,0.000306151530823,0.0,0.0008178889,0.0016482330374999,0.0012359980418953,0.0,0.00308888,0.0031054869125,0.0022379979653879,0.0,0.0061777601,1
3.0,370.0,199.0,0.0028699923,0.0562482934,0.8682988987,-1.1053222166,0.350588635,7.508771929824562,2.1054589507952204,5.0,19.0,4.491228070175438,1.002190583128918,3.0,10.0,0.0028699922561403,0.0033821495897483,0.0,0.0182618419,0.0107088281350877,0.0126825523680715,0.0,0.0562482934,0.0152333140192982,0.0167161257251778,0.0,0.100027305,0
27.0,93.0,45.0,0.0008413964,0.0085494242,0.0691726136,-2.1274323848,3.2203016876,7.333333333333333,2.2696949467968492,4.0,11.0,4.75,2.179449471770337,2.0,11.0,0.0008413964333333,0.0006290325364818,0.0,0.0021514873,0.0028704161583333,0.0026011957647356,0.0,0.0085494242,0.0057643844666666,0.0053811539471039,0.0,0.0172401611,1
24.0,123.0,71.0,0.0001466204,0.0028508303,0.0138977977,-2.7115643506,6.2247149219,19.833333333333332,6.493586579592718,15.0,32.0,12.833333333333334,4.750438576243952,8.0,21.0,0.0001466203666666,0.0001814535705977,0.0,0.0004157461,0.0011225144333333,0.0012288265075695,0.0,0.0028508303,0.0023162996166666,0.0025589080587414,0.0,0.0060580144,1
25.0,82.0,47.0,1.42592e-05,0.0007842578,0.0016398118,-2.1896576342,3.5577877673,14.6,7.436396977031283,7.0,23.0,10.4,6.107372593840988,3.0,16.0,1.425924e-05,3.18846299474841e-05,0.0,7.12962e-05,0.00015685156,0.0003507307505368,0.0,0.0007842578,0.0003279623599999,0.0007333461310212,0.0,0.0016398118,1
