No.,Date,Time,Header,Data,Unit
1,,,,0.0,
2,,,,0.0,
3,,,,0.0,
4,,,,0.0,
5,,,,0.0,
6,,,,0.0,
7,,,,0.0,
8,,,,0.0,
9,,,,0.0,
10,,,,0.0,
11,,,,0.0,
12,,,,0.0,
13,,,,0.0,
14,,,,0.0,
15,,,,0.0,
16,,,,0.0,
17,,,,0.0,
18,,,,0.0005,
19,,,,0.001,
20,,,,0.0005,
21,,,,0.0,
22,,,,0.0,
23,,,,0.0,
24,,,,0.0,
25,,,,0.0,
26,,,,0.0,
27,,,,0.0,
28,,,,0.0,
29,,,,0.0,
30,,,,0.0005,
31,,,,0.001,
32,,,,0.001,
33,,,,0.001,
34,,,,0.001,
35,,,,0.001,
36,,,,0.001,
37,,,,0.001,
38,,,,0.001,
39,,,,0.001,
40,,,,0.0005,
41,,,,0.0,
42,,,,0.0,
43,,,,0.0,
44,,,,0.0,
45,,,,0.0,
46,,,,0.0,
47,,,,0.0,
48,,,,0.0,
49,,,,0.0,
50,,,,0.0,
51,,,,0.0,
52,,,,0.0,
53,,,,0.0,
54,,,,0.0,
55,,,,0.0,
56,,,,0.0,
57,,,,0.0,
58,,,,0.0,
59,,,,0.0,
60,,,,0.0,
61,,,,0.0,
62,,,,0.0,
63,,,,0.0,
64,,,,0.0,
65,,,,0.0,
66,,,,0.0,
67,,,,0.0,
68,,,,0.0,
69,,,,0.0,
70,,,,0.0,
71,,,,0.0,
72,,,,0.0005,
73,,,,0.001,
74,,,,0.001,
75,,,,0.001,
76,,,,0.001,
77,,,,0.001,
78,,,,0.001,
79,,,,0.001,
80,,,,0.0005,
81,,,,0.0,
82,,,,0.0,
83,,,,0.0,
84,,,,0.0,
85,,,,0.0,
86,,,,0.0,
87,,,,0.0,
88,,,,0.049,
89,,,,0.098,
90,,,,0.20850000000000002,
91,,,,0.319,
92,,,,0.515,
93,,,,0.711,
94,,,,0.935,
95,,,,1.159,
96,,,,1.324,
97,,,,1.489,
98,,,,1.5635,
99,,,,1.638,
100,,,,1.6564999999999999,
101,,,,1.675,
102,,,,1.677,
103,,,,1.679,
104,,,,1.6795,
105,,,,1.68,
106,,,,1.68,
107,,,,1.68,
108,,,,1.6795,
109,,,,1.679,
110,,,,1.6785,
111,,,,1.678,
112,,,,1.6764999999999999,
113,,,,1.675,
114,,,,1.6745,
115,,,,1.674,
116,,,,1.6735,
117,,,,1.673,
118,,,,1.6724999999999999,
119,,,,1.672,
120,,,,1.672,
121,,,,1.672,
122,,,,1.672,
123,,,,1.672,
124,,,,1.6715,
125,,,,1.671,
126,,,,1.671,
127,,,,1.671,
128,,,,1.671,
129,,,,1.671,
130,,,,1.671,
131,,,,1.671,
132,,,,1.671,
133,,,,1.671,
134,,,,1.671,
135,,,,1.671,
136,,,,1.6715,
137,,,,1.672,
138,,,,1.672,
139,,,,1.672,
140,,,,1.672,
141,,,,1.672,
142,,,,1.6724999999999999,
143,,,,1.673,
