No.,Date,Time,Header,Data,Unit,,,,,
113,2024/7/24,15:13:06,US,-120.451,g,,,,,
114,2024/7/24,15:13:06,US,11.995,g,,,,,
115,2024/7/24,15:13:07,US,12.008,g,,,,,
116,2024/7/24,15:13:09,US,12.032,g,,,,,
117,2024/7/24,15:13:10,US,12.044,g,,,,,
118,2024/7/24,15:13:11,US,12.019,g,,,,,
119,2024/7/24,15:13:11,US,12.053,g,,,,,
120,2024/7/24,15:13:12,US,-120.293,g,,,,,
121,2024/7/24,15:13:14,US,-120.692,g,,,,,
122,2024/7/24,15:13:15,US,-115.922,g,,,,,
123,2024/7/24,15:13:15,US,12.059,g,,,,,
124,2024/7/24,15:13:16,US,12.062,g,,,,,
125,2024/7/24,15:13:17,US,12.076,g,,,,,
126,2024/7/24,15:13:19,US,12.019,g,,,,,
127,2024/7/24,15:13:19,US,12.009,g,,,,,
128,2024/7/24,15:13:20,US,12.056,g,,,,,
129,2024/7/24,15:13:21,US,12.053,g,,,,,
130,2024/7/24,15:13:23,US,12.093,g,,,,,
131,2024/7/24,15:13:24,US,-120.696,g,,,,,
132,2024/7/24,15:13:24,US,-120.676,g,,,,,
133,2024/7/24,15:13:25,US,-120.696,g,,,,,
134,2024/7/24,15:13:26,US,-120.701,g,,,,,
135,2024/7/24,15:13:28,US,-120.693,g,,,,,
136,2024/7/24,15:13:29,ST,-120.695,g,,,,,
137,2024/7/24,15:13:29,US,-120.682,g,,,,,
138,2024/7/24,15:13:30,ST,-120.687,g,,,,,
139,2024/7/24,15:13:32,US,-120.696,g,,,,,
140,2024/7/24,15:13:33,ST,-120.693,g,,,,,
141,2024/7/24,15:13:34,US,-120.718,g,,,,,
142,2024/7/24,15:13:34,US,-120.687,g,,,,,
143,2024/7/24,15:13:35,US,-120.687,g,,,,,
144,2024/7/24,15:13:37,US,-120.685,g,,,,,
145,2024/7/24,15:13:38,US,-120.683,g,,,,,
146,2024/7/24,15:13:38,US,-120.696,g,,,,,
147,2024/7/24,15:13:39,US,-120.683,g,,,,,
148,2024/7/24,15:13:40,ST,-120.682,g,,,,,
149,2024/7/24,15:13:42,US,-120.67,g,,,,,
150,2024/7/24,15:13:42,US,-120.697,g,,,,,
151,2024/7/24,15:13:43,US,-120.7,g,,,,,
Axis,4,0,180,0,30,0,30,3,2,0
Date,2024/7/24 15:14,,,,,,,,,
Memo,Remarks:          ,,,,,,,,,
