No.,Date,Time,Header,Data,Unit
1,2024/12/5,14:18:06,US,-0.156,g
2,2024/12/5,14:18:07,ST,0.004,g
3,2024/12/5,14:18:09,US,0.001,g
4,2024/12/5,14:18:10,ST,0.0,g
5,2024/12/5,14:18:10,ST,0.0,g
6,2024/12/5,14:18:11,ST,0.0,g
7,2024/12/5,14:18:12,ST,0.0,g
8,2024/12/5,14:18:14,ST,-0.001,g
9,2024/12/5,14:18:15,ST,-0.001,g
10,2024/12/5,14:18:15,ST,-0.001,g
11,2024/12/5,14:18:16,US,1.741,g
12,2024/12/5,14:18:18,ST,1.738,g
13,2024/12/5,14:18:19,ST,1.737,g
14,2024/12/5,14:18:19,ST,1.736,g
15,2024/12/5,14:18:20,ST,1.736,g
16,2024/12/5,14:18:21,US,1.795,g
17,2024/12/5,14:18:23,US,3.966,g
18,2024/12/5,14:18:23,ST,3.969,g
19,2024/12/5,14:18:24,ST,3.973,g
20,2024/12/5,14:18:25,ST,3.972,g
21,2024/12/5,14:18:27,US,4.241,g
22,2024/12/5,14:18:28,US,4.547,g
23,2024/12/5,14:18:28,ST,4.547,g
24,2024/12/5,14:18:29,ST,4.547,g
25,2024/12/5,14:18:30,ST,4.546,g
26,2024/12/5,14:18:32,US,4.7,g
27,2024/12/5,14:18:32,US,4.829,g
28,2024/12/5,14:18:33,ST,4.888,g
29,2024/12/5,14:18:34,ST,4.889,g
30,2024/12/5,14:18:36,ST,4.888,g
31,2024/12/5,14:18:37,ST,4.887,g
32,2024/12/5,14:18:37,US,4.904,g
33,2024/12/5,14:18:38,US,4.907,g
34,2024/12/5,14:18:39,US,4.92,g
35,2024/12/5,14:18:41,ST,4.916,g
36,2024/12/5,14:18:42,ST,4.916,g
37,2024/12/5,14:18:42,ST,4.916,g
38,2024/12/5,14:18:43,ST,4.916,g
39,2024/12/5,14:18:44,ST,4.916,g
40,2024/12/5,14:18:46,US,4.948,g
41,2024/12/5,14:18:46,ST,4.946,g
42,2024/12/5,14:18:47,ST,4.945,g
43,2024/12/5,14:18:48,ST,4.946,g
44,2024/12/5,14:18:50,ST,4.947,g
45,2024/12/5,14:18:51,US,4.938,g
46,2024/12/5,14:18:51,ST,4.939,g
47,2024/12/5,14:18:52,US,4.951,g
48,2024/12/5,14:18:53,ST,4.968,g
49,2024/12/5,14:18:55,US,4.968,g
50,2024/12/5,14:18:55,US,4.984,g
51,2024/12/5,14:18:56,ST,4.985,g
52,2024/12/5,14:18:57,ST,4.985,g
53,2024/12/5,14:18:59,ST,4.984,g
54,2024/12/5,14:19:00,ST,5.001,g
55,2024/12/5,14:19:00,US,5.004,g
56,2024/12/5,14:19:01,US,5.011,g
57,2024/12/5,14:19:02,ST,5.021,g
58,2024/12/5,14:19:04,ST,5.021,g
59,2024/12/5,14:19:04,ST,5.021,g
