No.,Date,Time,Header,Data,Unit
1,,,,0.0,
2,,,,0.0,
3,,,,0.0,
4,,,,-0.0005,
5,,,,-0.001,
6,,,,-0.0005,
7,,,,0.0,
8,,,,0.0,
9,,,,0.0,
10,,,,0.0,
11,,,,0.0,
12,,,,0.0,
13,,,,0.0,
14,,,,0.0,
15,,,,0.0,
16,,,,0.0,
17,,,,0.0,
18,,,,0.0,
19,,,,0.0,
20,,,,0.0,
21,,,,0.0,
22,,,,0.0,
23,,,,0.0,
24,,,,0.0,
25,,,,0.0,
26,,,,0.0,
27,,,,0.0,
28,,,,0.0,
29,,,,0.0,
30,,,,0.0,
31,,,,0.0,
32,,,,0.0,
33,,,,0.0,
34,,,,0.0,
35,,,,0.0,
36,,,,0.0,
37,,,,0.0,
38,,,,0.0,
39,,,,0.0,
40,,,,0.0,
41,,,,0.0,
42,,,,0.0,
43,,,,0.0,
44,,,,0.0,
45,,,,0.0,
46,,,,0.0,
47,,,,0.0,
48,,,,0.0,
49,,,,0.0,
50,,,,0.0,
51,,,,0.0,
52,,,,0.0,
53,,,,0.0,
54,,,,0.0,
55,,,,0.0,
56,,,,0.0,
57,,,,0.0,
58,,,,0.0,
59,,,,0.0,
60,,,,0.0,
61,,,,0.0,
62,,,,0.0,
63,,,,0.0,
64,,,,0.0,
65,,,,0.0,
66,,,,0.0,
67,,,,0.0,
68,,,,0.0,
69,,,,0.0,
70,,,,0.0,
71,,,,0.0,
72,,,,0.0,
73,,,,0.0,
74,,,,0.0,
75,,,,0.0,
76,,,,0.0,
77,,,,0.0,
78,,,,0.0,
79,,,,0.0,
80,,,,0.0565,
81,,,,0.113,
82,,,,0.1285,
83,,,,0.144,
84,,,,0.1465,
85,,,,0.149,
86,,,,0.1465,
87,,,,0.144,
88,,,,0.14200000000000002,
89,,,,0.14,
90,,,,0.1395,
91,,,,0.139,
92,,,,0.139,
93,,,,0.139,
94,,,,0.139,
95,,,,0.139,
96,,,,0.139,
97,,,,0.139,
98,,,,0.139,
99,,,,0.139,
100,,,,0.139,
101,,,,0.139,
102,,,,0.14,
103,,,,0.141,
104,,,,0.194,
105,,,,0.247,
106,,,,0.381,
107,,,,0.515,
108,,,,0.755,
109,,,,0.995,
110,,,,1.273,
111,,,,1.551,
112,,,,1.7605,
113,,,,1.97,
114,,,,2.0685,
115,,,,2.167,
116,,,,2.1929999999999996,
117,,,,2.219,
118,,,,2.2215,
119,,,,2.224,
120,,,,2.224,
121,,,,2.224,
122,,,,2.224,
123,,,,2.224,
124,,,,2.224,
125,,,,2.224,
126,,,,2.224,
127,,,,2.224,
128,,,,2.224,
129,,,,2.224,
130,,,,2.224,
131,,,,2.224,
132,,,,2.2235,
133,,,,2.223,
134,,,,2.223,
135,,,,2.223,
136,,,,2.223,
137,,,,2.223,
138,,,,2.223,
139,,,,2.223,
140,,,,2.223,
141,,,,2.223,
142,,,,2.223,
143,,,,2.223,
144,,,,2.223,
