No.,Date,Time,Header,Data,Unit
1,,,,0.0,
2,,,,0.0,
3,,,,0.0,
4,,,,0.0,
5,,,,0.0,
6,,,,0.0,
7,,,,0.0,
8,,,,0.0,
9,,,,0.0,
10,,,,0.0,
11,,,,0.0,
12,,,,0.0,
13,,,,0.0,
14,,,,0.0,
15,,,,0.0,
16,,,,0.0,
17,,,,0.0,
18,,,,0.0,
19,,,,0.0,
20,,,,0.0,
21,,,,0.0,
22,,,,0.0,
23,,,,0.0,
24,,,,0.0,
25,,,,0.0,
26,,,,0.0,
27,,,,0.0,
28,,,,0.0,
29,,,,0.0,
30,,,,0.0,
31,,,,0.0,
32,,,,0.0,
33,,,,0.0,
34,,,,0.0,
35,,,,0.0,
36,,,,0.0,
37,,,,0.0,
38,,,,0.0,
39,,,,0.0,
40,,,,0.0,
41,,,,0.0,
42,,,,0.0,
43,,,,0.0,
44,,,,0.0,
45,,,,0.0,
46,,,,0.0,
47,,,,0.0,
48,,,,0.0,
49,,,,0.0,
50,,,,0.0,
51,,,,0.0,
52,,,,0.0,
53,,,,0.0,
54,,,,0.0,
55,,,,0.0,
56,,,,0.0,
57,,,,0.0,
58,,,,0.0,
59,,,,0.0,
60,,,,0.0,
61,,,,0.0,
62,,,,0.0,
63,,,,0.0,
64,,,,0.0,
65,,,,0.0,
66,,,,0.065,
67,,,,0.13,
68,,,,0.1565,
69,,,,0.183,
70,,,,0.1725,
71,,,,0.162,
72,,,,0.1255,
73,,,,0.089,
74,,,,0.061,
75,,,,0.033,
76,,,,0.033,
77,,,,0.033,
78,,,,0.066,
79,,,,0.099,
80,,,,0.156,
81,,,,0.213,
82,,,,0.275,
83,,,,0.337,
84,,,,0.402,
85,,,,0.467,
86,,,,0.5650000000000001,
87,,,,0.663,
88,,,,0.81,
89,,,,0.957,
90,,,,1.1285,
91,,,,1.3,
92,,,,1.4705,
93,,,,1.641,
94,,,,1.822,
95,,,,2.003,
96,,,,2.216,
97,,,,2.429,
98,,,,2.67,
99,,,,2.911,
100,,,,3.158,
101,,,,3.405,
102,,,,3.6384999999999996,
103,,,,3.872,
104,,,,4.088,
105,,,,4.304,
106,,,,4.507,
107,,,,4.71,
108,,,,4.9115,
109,,,,5.113,
110,,,,5.319000000000001,
111,,,,5.525,
112,,,,5.729,
113,,,,5.933,
114,,,,6.121499999999999,
115,,,,6.31,
116,,,,6.478,
117,,,,6.646,
118,,,,6.7989999999999995,
119,,,,6.952,
120,,,,7.1015,
121,,,,7.251,
122,,,,7.405,
123,,,,7.559,
124,,,,7.7125,
125,,,,7.866,
126,,,,8.009,
127,,,,8.152,
128,,,,8.279,
129,,,,8.406,
130,,,,8.521,
131,,,,8.636,
132,,,,8.745999999999999,
133,,,,8.856,
134,,,,8.958,
135,,,,9.06,
136,,,,9.1395,
137,,,,9.219,
138,,,,9.2655,
139,,,,9.312,
140,,,,9.329,
141,,,,9.346,
142,,,,9.346,
143,,,,9.346,
