No.,Date,Time,Header,Data,Unit
1,,,,0.0,
2,,,,0.0,
3,,,,0.0,
4,,,,0.0,
5,,,,0.0,
6,,,,0.0,
7,,,,0.0,
8,,,,0.0,
9,,,,0.0,
10,,,,0.0,
11,,,,0.0,
12,,,,0.0,
13,,,,0.0,
14,,,,0.0,
15,,,,0.0,
16,,,,0.0,
17,,,,0.0,
18,,,,0.0,
19,,,,0.0,
20,,,,0.0,
21,,,,0.0,
22,,,,0.0,
23,,,,0.0,
24,,,,0.0,
25,,,,0.0,
26,,,,0.0,
27,,,,0.0,
28,,,,0.0,
29,,,,0.0,
30,,,,0.0,
31,,,,0.0,
32,,,,0.0,
33,,,,0.0,
34,,,,0.0,
35,,,,0.0,
36,,,,0.0,
37,,,,0.0,
38,,,,0.0,
39,,,,0.0,
40,,,,0.0,
41,,,,0.0,
42,,,,0.0,
43,,,,0.0,
44,,,,0.0,
45,,,,0.0,
46,,,,0.0,
47,,,,0.0,
48,,,,0.0,
49,,,,0.0,
50,,,,0.0,
51,,,,0.0,
52,,,,0.0,
53,,,,0.0,
54,,,,0.0,
55,,,,0.0,
56,,,,0.0,
57,,,,0.0,
58,,,,-0.0005,
59,,,,-0.001,
60,,,,-0.0005,
61,,,,0.0,
62,,,,0.0,
63,,,,0.0,
64,,,,0.0075,
65,,,,0.015,
66,,,,0.11,
67,,,,0.205,
68,,,,0.36550000000000005,
69,,,,0.526,
70,,,,0.7915,
71,,,,1.057,
72,,,,1.337,
73,,,,1.617,
74,,,,1.803,
75,,,,1.989,
76,,,,2.061,
77,,,,2.133,
78,,,,2.1455,
79,,,,2.158,
80,,,,2.157,
81,,,,2.156,
82,,,,2.1550000000000002,
83,,,,2.154,
84,,,,2.154,
85,,,,2.154,
86,,,,2.1544999999999996,
87,,,,2.155,
88,,,,2.1555,
89,,,,2.156,
90,,,,2.1565000000000003,
91,,,,2.157,
92,,,,2.157,
93,,,,2.157,
94,,,,2.157,
95,,,,2.157,
96,,,,2.157,
97,,,,2.157,
98,,,,2.157,
99,,,,2.157,
100,,,,2.1565000000000003,
101,,,,2.156,
102,,,,2.156,
103,,,,2.156,
104,,,,2.156,
105,,,,2.156,
106,,,,2.1555,
107,,,,2.155,
108,,,,2.155,
109,,,,2.155,
110,,,,2.155,
111,,,,2.155,
112,,,,2.155,
113,,,,2.155,
114,,,,2.155,
115,,,,2.155,
116,,,,2.155,
117,,,,2.155,
118,,,,2.155,
119,,,,2.155,
120,,,,2.155,
121,,,,2.155,
122,,,,2.2095,
123,,,,2.264,
124,,,,2.4044999999999996,
125,,,,2.545,
126,,,,2.802,
127,,,,3.059,
128,,,,3.3600000000000003,
129,,,,3.661,
130,,,,3.8899999999999997,
131,,,,4.119,
132,,,,4.230499999999999,
133,,,,4.342,
134,,,,4.3755,
135,,,,4.409,
136,,,,4.415,
137,,,,4.421,
138,,,,4.4215,
139,,,,4.422,
140,,,,4.422,
141,,,,4.422,
