No.,Date,Time,Header,Data,Unit
1,,,,0.0,
2,,,,0.0,
3,,,,0.0,
4,,,,0.0,
5,,,,0.0,
6,,,,0.0,
7,,,,0.0,
8,,,,0.0,
9,,,,0.0,
10,,,,0.0,
11,,,,0.0,
12,,,,0.0,
13,,,,0.0,
14,,,,0.0,
15,,,,0.0,
16,,,,0.0,
17,,,,0.0,
18,,,,0.0,
19,,,,0.0,
20,,,,0.0,
21,,,,0.0,
22,,,,0.0,
23,,,,0.0,
24,,,,0.0,
25,,,,0.0,
26,,,,0.0,
27,,,,0.0,
28,,,,0.0,
29,,,,0.0,
30,,,,0.0,
31,,,,0.0,
32,,,,0.0,
33,,,,0.0,
34,,,,0.0,
35,,,,0.0,
36,,,,0.0,
37,,,,0.0,
38,,,,0.0,
39,,,,0.0,
40,,,,0.0,
41,,,,0.0,
42,,,,0.0,
43,,,,0.0,
44,,,,0.0,
45,,,,0.0,
46,,,,0.0,
47,,,,0.0,
48,,,,0.0,
49,,,,0.0,
50,,,,0.0,
51,,,,0.0,
52,,,,0.0,
53,,,,0.0,
54,,,,0.0,
55,,,,0.0,
56,,,,0.0,
57,,,,0.0,
58,,,,0.0,
59,,,,0.0,
60,,,,0.0,
61,,,,0.0,
62,,,,0.0,
63,,,,0.0,
64,,,,0.0,
65,,,,0.0,
66,,,,0.0,
67,,,,0.0,
68,,,,0.0,
69,,,,0.0,
70,,,,0.0815,
71,,,,0.163,
72,,,,0.2715,
73,,,,0.38,
74,,,,0.5235000000000001,
75,,,,0.667,
76,,,,0.8145,
77,,,,0.962,
78,,,,1.1055000000000001,
79,,,,1.249,
80,,,,1.401,
81,,,,1.553,
82,,,,1.7245,
83,,,,1.896,
84,,,,2.0865,
85,,,,2.277,
86,,,,2.4775,
87,,,,2.678,
88,,,,2.8754999999999997,
89,,,,3.073,
90,,,,3.2615,
91,,,,3.45,
92,,,,3.6310000000000002,
93,,,,3.812,
94,,,,3.9935,
95,,,,4.175,
96,,,,4.3695,
97,,,,4.564,
98,,,,4.7805,
99,,,,4.997,
100,,,,5.2215,
101,,,,5.446,
102,,,,5.6545000000000005,
103,,,,5.863,
104,,,,6.046,
105,,,,6.229,
106,,,,6.4005,
107,,,,6.572,
108,,,,6.7455,
109,,,,6.919,
110,,,,7.09,
111,,,,7.261,
112,,,,7.421,
113,,,,7.581,
114,,,,7.7285,
115,,,,7.876,
116,,,,8.0115,
117,,,,8.147,
118,,,,8.269,
119,,,,8.391,
120,,,,8.503,
121,,,,8.615,
122,,,,8.721499999999999,
123,,,,8.828,
124,,,,8.921,
125,,,,9.014,
126,,,,9.079,
127,,,,9.144,
128,,,,9.172,
129,,,,9.2,
130,,,,9.2,
131,,,,9.2,
132,,,,9.189499999999999,
133,,,,9.179,
134,,,,9.171,
135,,,,9.163,
136,,,,9.16,
137,,,,9.157,
138,,,,9.156500000000001,
139,,,,9.156,
140,,,,9.156500000000001,
141,,,,9.157,
