No.,Date,Time,Header,Data,Unit
1,2024/12/5,14:29:58,ST,0.006,g
2,2024/12/5,14:29:59,ST,0.006,g
3,2024/12/5,14:30:00,ST,0.007,g
4,2024/12/5,14:30:01,ST,0.0,g
5,2024/12/5,14:30:02,ST,0.0,g
6,2024/12/5,14:30:03,ST,0.0,g
7,2024/12/5,14:30:04,ST,-0.001,g
8,2024/12/5,14:30:05,ST,-0.003,g
9,2024/12/5,14:30:06,US,-0.006,g
10,2024/12/5,14:30:07,US,1.469,g
11,2024/12/5,14:30:08,US,1.679,g
12,2024/12/5,14:30:09,US,1.675,g
13,2024/12/5,14:30:10,ST,1.676,g
14,2024/12/5,14:30:11,US,3.41,g
15,2024/12/5,14:30:12,US,3.719,g
16,2024/12/5,14:30:13,ST,3.719,g
17,2024/12/5,14:30:14,ST,3.719,g
18,2024/12/5,14:30:15,US,3.702,g
19,2024/12/5,14:30:16,US,4.404,g
20,2024/12/5,14:30:17,ST,4.406,g
21,2024/12/5,14:30:18,ST,4.405,g
22,2024/12/5,14:30:19,ST,4.61,g
23,2024/12/5,14:30:20,US,4.614,g
24,2024/12/5,14:30:21,US,4.649,g
25,2024/12/5,14:30:22,ST,4.646,g
26,2024/12/5,14:30:23,ST,4.648,g
27,2024/12/5,14:30:24,ST,4.65,g
28,2024/12/5,14:30:25,ST,4.651,g
29,2024/12/5,14:30:26,ST,4.65,g
30,2024/12/5,14:30:27,ST,4.649,g
31,2024/12/5,14:30:28,US,4.668,g
32,2024/12/5,14:30:29,US,4.676,g
33,2024/12/5,14:30:30,ST,4.678,g
34,2024/12/5,14:30:31,US,4.721,g
35,2024/12/5,14:30:32,ST,4.72,g
36,2024/12/5,14:30:33,US,4.762,g
37,2024/12/5,14:30:34,US,4.764,g
38,2024/12/5,14:30:35,US,4.771,g
39,2024/12/5,14:30:36,US,4.787,g
40,2024/12/5,14:30:37,US,4.807,g
41,2024/12/5,14:30:38,US,4.827,g
42,2024/12/5,14:30:39,US,4.836,g
43,2024/12/5,14:30:40,US,4.859,g
44,2024/12/5,14:30:41,ST,4.859,g
45,2024/12/5,14:30:42,US,4.876,g
46,2024/12/5,14:30:43,US,4.894,g
47,2024/12/5,14:30:44,US,4.912,g
48,2024/12/5,14:30:45,US,4.929,g
49,2024/12/5,14:30:46,ST,4.929,g
50,2024/12/5,14:30:47,US,4.939,g
51,2024/12/5,14:30:48,US,4.947,g
52,2024/12/5,14:30:49,ST,4.948,g
53,2024/12/5,14:30:50,ST,4.948,g
54,2024/12/5,14:30:51,ST,4.948,g
55,2024/12/5,14:30:52,ST,4.949,g
56,2024/12/5,14:30:53,US,4.961,g
57,2024/12/5,14:30:54,US,4.964,g
58,2024/12/5,14:30:55,ST,4.966,g
59,2024/12/5,14:30:56,US,4.985,g
60,2024/12/5,14:30:57,ST,4.986,g
61,2024/12/5,14:30:58,ST,4.985,g
62,2024/12/5,14:30:59,US,5.005,g
63,2024/12/5,14:31:00,ST,5.013,g
64,2024/12/5,14:31:01,ST,5.014,g
65,2024/12/5,14:31:02,US,5.028,g
66,2024/12/5,14:31:03,ST,5.031,g
67,2024/12/5,14:31:04,ST,5.03,g
68,2024/12/5,14:31:05,ST,5.03,g
69,2024/12/5,14:31:06,ST,5.03,g
70,2024/12/5,14:31:07,ST,5.03,g
71,2024/12/5,14:31:08,ST,5.03,g
72,2024/12/5,14:31:09,ST,5.03,g
73,2024/12/5,14:31:10,ST,5.03,g
74,2024/12/5,14:31:11,ST,5.03,g
75,2024/12/5,14:31:12,ST,5.031,g
