first_stop,last_stop,total_duration,mean_of_mean_gradient,max_of_max_gradient,total_weight_change,duration_mean,duration_std,duration_min,duration_max,shaking_duration_mean,shaking_duration_std,shaking_duration_min,shaking_duration_max,mean_gradient_mean,mean_gradient_std,mean_gradient_min,mean_gradient_max,max_gradient_mean,max_gradient_std,max_gradient_min,max_gradient_max,weight_change_mean,weight_change_std,weight_change_min,weight_change_max
45.0,673.0,301.0,0.0016668845,0.028000655,0.9322089406,7.135922330097087,2.711806227132773,4.0,18.0,3.9223300970873782,0.9360882352029024,3.0,9.0,0.0016668845097087,0.0021364291298128,0.0,0.0105002456,0.0049851276834951,0.0057886522869337,0.0,0.028000655,0.009050572237864,0.0125154806107898,0.0,0.0790076961
28.0,131.0,53.0,0.0009511589,0.0305844477,0.111028562,10.076923076923077,2.7221786146864817,7.0,16.0,5.076923076923077,3.426892140641392,3.0,16.0,0.0009511588615384,0.0019330269315883,0.0,0.0072932145,0.0036670857615384,0.0081405952365412,0.0,0.0305844477,0.0085406586076923,0.0186461935343052,0.0,0.0702492983
19.0,118.0,50.0,0.0017051523,0.0326365364,0.1350904734,7.866666666666666,2.065591117977289,5.0,13.0,4.333333333333333,0.6172133998483675,4.0,6.0,0.0017051522933333,0.0024818942533631,0.0,0.0088738329,0.0065190448666666,0.0101598086674328,0.0,0.0326365364,0.0090060315533333,0.0100059557191039,0.0,0.0338758985
31.0,127.0,68.0,0.0007823225,0.011130137,0.0694349315,9.75,1.9598237397554632,6.0,13.0,6.666666666666667,1.9694638556693236,3.0,10.0,0.0007823225,0.0007825639981317,0.0,0.0021332763,0.0033747146166666,0.0034316472777159,0.0,0.011130137,0.0057862442833333,0.0051959897961934,0.0,0.0154109589
21.0,172.0,111.0,0.0010022881,0.0917967358,0.2705437959,8.85,9.033708802969135,5.0,47.0,6.55,7.687823591820211,3.0,39.0,0.001002288085,0.0010246737020947,0.0,0.0039062441,0.007764949035,0.0200063573920639,0.0,0.0917967358,0.0135271898,0.0402389952419408,0.0,0.1835934716
26.0,26.0,23.0,0.0,0.0,0.0,24.0,,24.0,24.0,24.0,,24.0,24.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
4.0,354.0,240.0,0.0027428304,0.0536158531,0.9915930342,10.214285714285714,5.362633655327795,6.0,38.0,6.714285714285714,5.133751133125184,3.0,38.0,0.0027428304214285,0.0032985339252203,0.0,0.0132109462,0.0119211019666666,0.01353681628787,0.0,0.0536158531,0.0236093579547619,0.0320059618554581,0.0,0.1453204083
